UNIQUE CODE,STATE,FEDERAL LEGISLATIVE COUNCIL CONSTITUENCY NAME,ESTIMATED POPULATION (30/6/1953),SHARE FROM PENINSULAR MALAYSIA ELECTORAL QUOTA (%),TOTAL ELECTORATE (1955 ELECTIONS)
,PENANG,WELLESLEY NORTH,83800,89.33,28190
,PENANG,WELLESLEY SOUTH,99900,106.49,24320
,PENANG,GEORGE TOWN,137000,146.04,19935
,PENANG,PENANG ISLAND,125700,133.99,27281
,MALACCA,MALACCA CENTRAL,117300,125.04,25511
,MALACCA,MALACCA LUAR,122000,130.05,34204
,PERAK,KRIAN,98600,105.11,27239
,PERAK,BATANG PADANG,80300,85.60,13677
,PERAK,LARUT AND MATANG,113600,121.10,30454
,PERAK,DINDINGS,84100,89.65,16512
,PERAK,SUNGEI PERAK ULU,88100,93.91,28206
,PERAK,SUNGEI PERAK HILIR,70800,75.47,25677
,PERAK,TELOK ANSON,95000,101.27,18131
,PERAK,IPOH AND MENGLEMBU,116000,123.65,12948
,PERAK,KINTA UTARA,83200,88.69,12304
,PERAK,KINTA SELATAN,115400,123.01,16216
,SELANGOR,KUALA LUMPUR BARAT,132300,141.03,8862
,SELANGOR,KUALA LUMPUR TIMOR,123100,131.22,13184
,SELANGOR,ULU SELANGOR,82300,87.73,7835
,SELANGOR,KUALA SELANGOR,89600,95.51,21410
,SELANGOR,LANGAT,89200,95.09,10834
,SELANGOR,SELANGOR BARAT,98400,104.89,13847
,SELANGOR,SELANGOR TENGAH,92700,98.82,9465
,NEGRI SEMBILAN,NEGRI SEMBILAN UTARA,94600,100.84,26502
,NEGRI SEMBILAN,NEGRI SEMBILAN SELATAN,81000,86.34,18651
,NEGRI SEMBILAN,SEREMBAN,91900,97.96,12979
,PAHANG,ULU PAHANG,84100,89.65,22812
,PAHANG,SEMANTAN,84900,90.50,19849
,PAHANG,PAHANG TIMOR,68600,73.13,22291
,JOHOR,JOHORE TIMOR,57000,60.76,14155
,JOHOR,JOHORE BAHRU,81300,86.66,15042
,JOHOR,JOHORE SELATAN,102300,109.05,29090
,JOHOR,JOHORE TENGAH,97700,104.15,11737
,JOHOR,BATU PAHAT,98200,104.68,27323
,JOHOR,MUAR SELATAN,113000,120.46,34321
,JOHOR,MUAR UTARA,100500,107.13,29272
,JOHOR,SEGAMAT,86500,92.21,17482
,KEDAH,ALOR STAR,109800,117.05,35261
,KEDAH,KOTA STAR,86400,92.10,34043
,KEDAH,KEDAH UTARA,80200,85.49,33966
,KEDAH,KEDAH TENGAH,94700,100.95,37176
,KEDAH,SUNGEI MUDA,92100,98.18,27426
,KEDAH,KEDAH SELATAN,90800,96.79,25917
,KELANTAN,KELANTAN SELATAN,75400,80.38,39084
,KELANTAN,KELANTAN TIMOR,99300,105.85,46221
,KELANTAN,PASIR MAS,75800,80.80,34779
,KELANTAN,KELANTAN UTARA,93300,99.46,42510
,KELANTAN,KELANTAN TENGAH,100000,106.60,43149
,TRENGGANU,TRENGGANU UTARA,83300,88.80,32482
,TRENGGANU,TRENGGANU TENGAH,88900,94.77,33719
,TRENGGANU,TRENGGANU SELATAN,53700,57.24,23831
,PERLIS,PERLIS,70490,75.14,30936
