STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,MALAY,CHINESE,INDIAN,OTHERS,TOTAL
PULAU PINANG,P.41,KEPALA BATAS,N.1,PENANGA,"9,804","1,387",54,0,"11,245"
PULAU PINANG,P.41,KEPALA BATAS,N.2,BERTAM,"6,699","3,322",973,0,"10,994"
PULAU PINANG,P.41,KEPALA BATAS,N.3,PINANG TUNGGAL,"7,967","3,433",674,15,"12,089"
PULAU PINANG,P.42,TASEK GELUGOR,N.4,PERMATANG BERANGAN,"9,072","1,422","1,014",0,"11,508"
PULAU PINANG,P.42,TASEK GELUGOR,N.5,SUNGAI DUA,"9,751","1,260",123,0,"11,134"
PULAU PINANG,P.42,TASEK GELUGOR,N.6,TELOK AYER TAWAR,"8,168","3,136","1,354",7,"12,665"
PULAU PINANG,P.43,BAGAN,N.7,SUNGAI PUYU,"1,431","20,044","2,281",15,"23,771"
PULAU PINANG,P.43,BAGAN,N.8,BAGAN JERMAL,"5,615","13,445","3,588",15,"22,663"
PULAU PINANG,P.43,BAGAN,N.9,PERAI,"4,474","11,037","6,779",10,"22,300"
PULAU PINANG,P.44,PERMATANG PAUH,N.10,SEBERANG JAYA,"11,086","3,710","1,806",10,"16,612"
PULAU PINANG,P.44,PERMATANG PAUH,N.11,PERMATANG PASIR,"10,285","5,320",351,1,"15,957"
PULAU PINANG,P.44,PERMATANG PAUH,N.12,PENANTI,"8,450","4,002",395,44,"12,891"
PULAU PINANG,P.45,BUKIT MERTAJAM,N.13,BERAPIT,781,"15,416","1,401",2,"17,600"
PULAU PINANG,P.45,BUKIT MERTAJAM,N.14,MACHANG BUBUK,"6,839","10,972","1,622",10,"19,443"
PULAU PINANG,P.45,BUKIT MERTAJAM,N.15,BUKIT TENGAH,"5,757","14,123","2,911",10,"22,801"
PULAU PINANG,P.46,NIBONG TEBAL,N.16,SUNGAI BAKAP,"7,736","5,693","2,066",2,"15,497"
PULAU PINANG,P.46,NIBONG TEBAL,N.17,JAWI,"2,609","13,744","3,483",1,"19,837"
PULAU PINANG,P.46,NIBONG TEBAL,N.18,SUNGAI ACHEH,"6,796","3,546","1,455",0,"11,797"
PULAU PINANG,P.47,BUKIT BENDERA,N.19,TANJONG BUNGA,"5,153","15,220","2,511",356,"23,240"
PULAU PINANG,P.47,BUKIT BENDERA,N.20,AIR ITAM,"1,974","20,285","1,514",74,"23,847"
PULAU PINANG,P.47,BUKIT BENDERA,N.21,KEBUN BUNGA,"3,030","14,059","2,847",267,"20,203"
PULAU PINANG,P.48,TANJONG,N.22,PADANG KOTA,"1,434","15,617","2,963",79,"20,093"
PULAU PINANG,P.48,TANJONG,N.23,PENGKALAN KOTA,135,"20,276",733,14,"21,158"
PULAU PINANG,P.48,TANJONG,N.24,KAMPONG KOLAM,"1,724","18,676","1,193",30,"21,623"
PULAU PINANG,P.49,JELUTONG,N.25,DATOK KERAMAT,"5,818","10,936","2,755",46,"19,555"
PULAU PINANG,P.49,JELUTONG,N.26,SUNGAI PINANG,"5,901","9,483","3,329",36,"18,749"
PULAU PINANG,P.49,JELUTONG,N.27,BATU LANCANG,"1,005","17,562","1,107",75,"19,749"
PULAU PINANG,P.50,BAYAN BARU,N.28,BUKIT GELUGOR,"3,795","15,835","2,399",187,"22,216"
PULAU PINANG,P.50,BAYAN BARU,N.29,PAYA TERUBONG,"3,961","20,589","1,675",44,"26,269"
PULAU PINANG,P.50,BAYAN BARU,N.30,BATU UBAN,"10,132","10,860","4,534",135,"25,661"
PULAU PINANG,P.51,BALIK PULAU,N.31,BAYAN LEPAS,"10,733","8,946","1,512",60,"21,251"
PULAU PINANG,P.51,BALIK PULAU,N.32,TELOK KUMBAR,"11,250","5,734",797,29,"17,810"
PULAU PINANG,P.51,BALIK PULAU,N.33,TELOK BAHANG,"9,610","6,413",378,24,"16,425"
