STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL ELECTORS,MALAY,CHINESE,INDIA,OTHERS,MALE ELECTORS,WOMEN ELECTORS
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/01,MAHARANI,2290,973,1053,254,10,1138,1152
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/02,BANDAR BARAT,2362,123,2161,76,2,1327,1035
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/03,TANJONG,2183,1243,858,75,7,1012,1171
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/04,TANJONG SELATAN,1014,399,549,63,3,453,561
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/05,JALAN KHALIDI,1289,579,648,62,0,597,692
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/06,PARIT PRUPOK BARAT,1848,1057,730,60,0,876,971
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/07,PARIT PRUPOK TIMUR,1503,1021,454,28,1,721,783
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/08,TEMENGGONG AHMAD SELATAN,1803,1149,598,55,1,833,970
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/09,PARIT KEROMA,1214,1050,163,1,0,552,662
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/10,PARIT RAJA,1234,1059,174,1,0,606,628
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/11,PARIT BAKAR,1543,864,677,2,0,736,807
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/12,PARIT BAKAR DARAT,1060,629,428,3,0,541,519
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/13,PARIT UNAS,1601,1154,447,0,0,777,824
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/14,PARIT PINANG SERIBU,1290,949,340,1,0,596,694
JOHOR,P.133,MUAR,N.17,PARIT BAKAR,133/15,PARIT SAMSU,970,597,369,4,0,482,488
